Year,County of Residence,County of Residence Code,Maternal Morbidity Checked,Maternal Morbidity Checked Code,Abnormal Conditions Checked,Abnormal Conditions Checked Code,Births,% of Total Births,Average Age of Mother (years),Average OE Gestational Age (weeks),Average LMP Gestational Age (weeks),Average Birth Weight (grams),Average Pre-pregnancy BMI,Average Number of Prenatal Visits,Average Interval Since Last Live Birth (months),Average Interval Since Last Other Pregnancy Outcome (months)
2024,"York County, PA",42133,At least one checked,0,At least one checked,0,22,0,30.36,35.27,35.27,2567.36,29.86,10.8,61,62.50
2024,"York County, PA",42133,At least one checked,0,None checked,1,53,0,28.28,38.79,39.3,3379.43,28.86,12.62,40.59,51.56
2024,"York County, PA",42133,None checked,1,At least one checked,0,655,0.0002,30.01,36.21,36.57,2776.34,29.36,14.1,54.74,37.51
2024,"York County, PA",42133,None checked,1,None checked,1,4047,0.0011,29.21,38.78,39.01,3348.36,27.91,14.2,46.99,37.77
2024,"York County, PA",42133,None checked,1,Unknown or Not Stated,9,25,0,28.32,38.48,38.4,3223.16,28.19,15.24,47.79,30.88
2024,"York County, PA",42133,Unknown or Not Stated,9,None checked,1,10,0,28.5,39,39.1,3526.2,29.29,14.2,36,42.25
2024,"Unidentified Counties, PA",42999,At least one checked,0,At least one checked,0,51,0,30.31,35.53,35.51,2778.02,29.43,8.84,39,40.64
2024,"Unidentified Counties, PA",42999,At least one checked,0,None checked,1,135,0,28.25,39,39.47,3527.24,28.57,11.24,40.21,29.32
2024,"Unidentified Counties, PA",42999,None checked,1,At least one checked,0,1743,0.0005,28.77,36.23,36.59,2839.04,29.97,9.6,46.7,44.77
2024,"Unidentified Counties, PA",42999,None checked,1,None checked,1,12746,0.0035,28.5,38.84,39.11,3374.36,28.32,10.63,42.42,44.22
2024,"Unidentified Counties, PA",42999,None checked,1,Unknown or Not Stated,9,48,0,29.54,38.72,38.91,3292.5,27.24,9.19,44.03,60.12
2024,"Unidentified Counties, PA",42999,Unknown or Not Stated,9,At least one checked,0,13,0,28.31,35.38,35.31,2777,28.46,5.23,46.86,Not Applicable
2024,"Unidentified Counties, PA",42999,Unknown or Not Stated,9,None checked,1,63,0,27.76,38.94,38.95,3376.7,28.03,7.45,36.56,36.40
2024,"Unidentified Counties, PA",42999,Unknown or Not Stated,9,Unknown or Not Stated,9,35,0,29.94,38.59,38.71,3558.88,30.23,2.65,37.92,29.33
2024,"Kent County, RI",44003,At least one checked,0,None checked,1,17,0,31.18,39.12,39.53,3639.76,26.17,11.94,59.2,10.00
2024,"Kent County, RI",44003,None checked,1,At least one checked,0,136,0,31.07,36.04,36.49,2751.87,29.7,9.83,56.63,85.12
2024,"Kent County, RI",44003,None checked,1,None checked,1,1287,0.0004,31.22,38.74,38.99,3340.95,27.88,11.8,47.64,42.40
2024,"Providence County, RI",44007,At least one checked,0,At least one checked,0,25,0,30.56,35.6,36.4,2776.2,30.05,10.44,46.7,28.00
2024,"Providence County, RI",44007,At least one checked,0,None checked,1,158,0,29.25,38.73,38.75,3385.98,26.61,11.87,56.96,55.13
2024,"Providence County, RI",44007,None checked,1,At least one checked,0,549,0.0002,30.64,36.42,36.72,2800.79,29.06,10.21,59.05,39.42
2024,"Providence County, RI",44007,None checked,1,None checked,1,5994,0.0017,30.25,38.68,38.92,3310.01,27.78,11.54,56.32,46.05
2024,"Washington County, RI",44009,At least one checked,0,None checked,1,17,0,33.47,39.41,39.35,3644.76,26.59,12.47,35.43,43.60
2024,"Washington County, RI",44009,None checked,1,At least one checked,0,58,0,31.97,35.59,36.14,2661.67,30.1,11.24,50.09,41.40
2024,"Washington County, RI",44009,None checked,1,None checked,1,748,0.0002,32.24,38.84,39.01,3392.69,26.34,11.6,44.09,45.92
2024,"Unidentified Counties, RI",44999,None checked,1,At least one checked,0,56,0,33.59,35.12,35.39,2564.04,26.6,9.54,35.57,27.67
2024,"Unidentified Counties, RI",44999,None checked,1,None checked,1,926,0.0003,32.01,38.76,38.94,3350.54,26.27,11.92,49.58,45.46
2024,"Aiken County, SC",45003,None checked,1,At least one checked,0,258,0.0001,28.95,36.47,36.69,2788.29,29.26,10.21,56.72,49.70
2024,"Aiken County, SC",45003,None checked,1,None checked,1,1645,0.0005,28.54,38.55,38.53,3286.58,28.69,10.66,50.37,54.96
2024,"Aiken County, SC",45003,Unknown or Not Stated,9,None checked,1,15,0,28.8,38.73,38.8,3237.33,29.95,11,42.2,85.75
2024,"Anderson County, SC",45007,At least one checked,0,None checked,1,73,0,26.96,38.58,38.75,3377.19,27.01,11.52,60.19,34.50
2024,"Anderson County, SC",45007,None checked,1,At least one checked,0,349,0.0001,28.11,35.7,35.83,2711.49,30.17,9.77,52.47,39.52
2024,"Anderson County, SC",45007,None checked,1,None checked,1,1899,0.0005,28.25,38.54,38.81,3327.77,28.83,11.38,46.98,37.08
2024,"Beaufort County, SC",45013,At least one checked,0,None checked,1,13,0,30.69,38.15,38.38,3267.69,33.29,10.62,72,20.50
2024,"Beaufort County, SC",45013,None checked,1,At least one checked,0,150,0,29.23,35.63,36.07,2709.74,29.25,9.35,51.49,38.96
2024,"Beaufort County, SC",45013,None checked,1,None checked,1,1719,0.0005,28.79,38.68,38.83,3331.11,26.93,12.04,51.9,44.99
2024,"Berkeley County, SC",45015,At least one checked,0,At least one checked,0,23,0,31.22,36.57,36.87,2923.04,30.87,10.55,67,66.60
2024,"Berkeley County, SC",45015,At least one checked,0,None checked,1,41,0,29.41,38.8,39.15,3475.49,26.34,11.34,42.35,37.00
2024,"Berkeley County, SC",45015,None checked,1,At least one checked,0,592,0.0002,29.69,36.28,36.87,2840.19,30.06,10.45,55.19,40.42
2024,"Berkeley County, SC",45015,None checked,1,None checked,1,2638,0.0007,28.82,38.51,38.77,3298.72,27.91,11.3,49.81,39.05
2024,"Charleston County, SC",45019,At least one checked,0,At least one checked,0,41,0,31.37,36.83,37.1,2955.27,26.55,9.38,36.24,27.60
2024,"Charleston County, SC",45019,At least one checked,0,None checked,1,94,0,31.71,38.94,39,3432.47,24.4,12.02,48.03,52.22
2024,"Charleston County, SC",45019,None checked,1,At least one checked,0,925,0.0003,31.29,36.62,36.82,2876.06,27.1,11.39,50.52,36.63
2024,"Charleston County, SC",45019,None checked,1,None checked,1,4021,0.0011,30.59,38.6,38.73,3285.66,26.27,11.55,46.51,38.55
2024,"Dorchester County, SC",45035,At least one checked,0,At least one checked,0,15,0,29.53,34.47,35.07,2506.47,29.09,10.93,65.25,51.00
2024,"Dorchester County, SC",45035,At least one checked,0,None checked,1,25,0,27.32,38.28,38.48,3220.92,28.06,10,50.46,30.00
2024,"Dorchester County, SC",45035,None checked,1,At least one checked,0,359,0.0001,29.51,36.29,36.57,2821.8,29.44,10.61,52.44,54.04
2024,"Dorchester County, SC",45035,None checked,1,None checked,1,1681,0.0005,29.1,38.52,38.73,3298.25,28.01,11.14,51.17,43.79
2024,"Florence County, SC",45041,None checked,1,At least one checked,0,187,0.0001,29.17,34.71,34.98,2417.14,29.99,12.46,60.45,49.50
2024,"Florence County, SC",45041,None checked,1,None checked,1,1331,0.0004,28.09,38.22,38.46,3179.9,29.12,12.39,51.25,38.09
2024,"Greenville County, SC",45045,At least one checked,0,At least one checked,0,17,0,29.35,36.47,36.24,2918.94,28.26,9.06,35.86,70.33
2024,"Greenville County, SC",45045,At least one checked,0,None checked,1,96,0,29.69,38.96,39.17,3503.94,25.31,11.94,53.76,34.88
2024,"Greenville County, SC",45045,None checked,1,At least one checked,0,687,0.0002,29.88,35.42,35.74,2662.72,29.22,10.33,55.14,42.97
2024,"Greenville County, SC",45045,None checked,1,None checked,1,5853,0.0016,29.57,38.57,38.8,3320.55,27.63,11.63,46.91,40.14
2024,"Greenville County, SC",45045,Unknown or Not Stated,9,None checked,1,12,0,29.75,38.83,39.08,3311.5,26.58,13.08,29.2,50.50
2024,"Horry County, SC",45051,At least one checked,0,At least one checked,0,17,0,31.18,33.59,33.24,2199.53,32.25,9.47,109.8,39.12
2024,"Horry County, SC",45051,At least one checked,0,None checked,1,30,0,30.73,38.83,38.9,3415.77,26.85,10.7,53.19,29.20
2024,"Horry County, SC",45051,None checked,1,At least one checked,0,331,0.0001,29.42,36.03,36.67,2774.9,28.99,9.95,54.88,42.96
2024,"Horry County, SC",45051,None checked,1,None checked,1,3125,0.0009,28.57,38.53,38.76,3311.96,27.65,10.78,52.39,48.94
2024,"Lexington County, SC",45063,At least one checked,0,None checked,1,20,0,27.8,39,38.85,3451.25,24.8,10.2,62.86,86.00
2024,"Lexington County, SC",45063,None checked,1,At least one checked,0,302,0.0001,29.85,35.29,35.76,2594.08,29.11,11.75,54.81,48.11
2024,"Lexington County, SC",45063,None checked,1,None checked,1,2957,0.0008,28.97,38.44,38.55,3296.93,28.59,13.28,49.3,42.63
2024,"Pickens County, SC",45077,At least one checked,0,None checked,1,20,0,29.05,39.2,39.4,3600.4,28.15,13.55,42.5,14.50
2024,"Pickens County, SC",45077,None checked,1,At least one checked,0,179,0,29.46,35.28,35.84,2685.94,30.15,10.46,56.79,35.38
2024,"Pickens County, SC",45077,None checked,1,None checked,1,1129,0.0003,28.24,38.54,38.81,3360.14,28.75,12.2,46.76,38.10
2024,"Richland County, SC",45079,At least one checked,0,None checked,1,29,0,26.38,38.69,39.1,3390.1,26.28,14.52,81.8,43.00
2024,"Richland County, SC",45079,None checked,1,At least one checked,0,444,0.0001,28.87,34.44,34.84,2394.03,30.7,11.96,51.11,48.35
2024,"Richland County, SC",45079,None checked,1,None checked,1,3965,0.0011,29.28,38.34,38.51,3214.4,28.98,13.43,50.96,47.00
2024,"Spartanburg County, SC",45083,At least one checked,0,None checked,1,32,0,27.69,39.22,39.34,3518.88,25.88,11.47,44.1,34.75
2024,"Spartanburg County, SC",45083,None checked,1,At least one checked,0,566,0.0002,29.11,35.84,36.22,2747.48,29.84,10.09,55.1,43.57
2024,"Spartanburg County, SC",45083,None checked,1,None checked,1,3902,0.0011,28.57,38.65,38.88,3338.34,28.44,11.61,47.44,44.82
2024,"Sumter County, SC",45085,None checked,1,At least one checked,0,118,0,28.75,34.76,35.23,2486.24,30.29,9.97,59.93,40.23
2024,"Sumter County, SC",45085,None checked,1,None checked,1,1134,0.0003,27.69,38.2,38.48,3224.63,29.79,11.9,51.81,36.71
2024,"York County, SC",45091,At least one checked,0,At least one checked,0,11,0,33.09,35.45,34.91,2551.09,32.79,13,59.25,12.00
2024,"York County, SC",45091,At least one checked,0,None checked,1,35,0,29.8,38.6,39.06,3335.63,25.58,13.03,42.78,24.56
2024,"York County, SC",45091,None checked,1,At least one checked,0,433,0.0001,29.19,36.55,36.84,2891.99,28.5,11.81,48.87,50.97
2024,"York County, SC",45091,None checked,1,None checked,1,2503,0.0007,29.88,38.65,38.88,3337.12,27.71,12.43,50.14,50.42
2024,"York County, SC",45091,Unknown or Not Stated,9,None checked,1,10,0,27.8,37.9,36.7,3155.1,25.13,11.5,84.4,87.50
2024,"Unidentified Counties, SC",45999,At least one checked,0,At least one checked,0,49,0,26.84,35.35,35.53,2722.33,28.41,9.33,32.44,20.50
2024,"Unidentified Counties, SC",45999,At least one checked,0,None checked,1,132,0,27.31,38.24,38.64,3254.42,26.91,11.48,58.17,42.64
2024,"Unidentified Counties, SC",45999,None checked,1,At least one checked,0,1627,0.0004,28.57,35.37,35.73,2615.78,30.4,10.61,56.95,50.87
2024,"Unidentified Counties, SC",45999,None checked,1,None checked,1,10772,0.003,27.67,38.4,38.64,3246.52,29.4,11.94,51.4,48.96
2024,"Unidentified Counties, SC",45999,Unknown or Not Stated,9,None checked,1,19,0,26.68,38.42,38.84,3226.58,30.55,10.63,74,Not Applicable
2024,"Minnehaha County, SD",46099,At least one checked,0,None checked,1,23,0,28,39.04,39.3,3539.78,23.51,11.65,33,22.00
2024,"Minnehaha County, SD",46099,None checked,1,At least one checked,0,380,0.0001,29.3,35.56,35.96,2773.09,29.01,9.91,42.93,41.03
2024,"Minnehaha County, SD",46099,None checked,1,None checked,1,2414,0.0007,29.25,38.54,38.89,3378.56,27.37,10.87,41.37,42.49
2024,"Pennington County, SD",46103,At least one checked,0,None checked,1,19,0,28.16,39.16,38.84,3618.16,26.57,10.42,57.17,28.80
2024,"Pennington County, SD",46103,None checked,1,At least one checked,0,227,0.0001,29.07,36.83,37.15,2925.81,28.67,8.88,47.81,55.88
2024,"Pennington County, SD",46103,None checked,1,None checked,1,1127,0.0003,28.44,38.86,39.05,3383.96,26.94,10.27,44.83,45.68
2024,"Unidentified Counties, SD",46999,At least one checked,0,At least one checked,0,13,0,29.54,35.69,36.23,2574.38,31.55,8.25,75.43,19.00
2024,"Unidentified Counties, SD",46999,At least one checked,0,None checked,1,83,0,27.43,38.6,38.98,3416.86,26.33,9.87,47.8,57.50
2024,"Unidentified Counties, SD",46999,None checked,1,At least one checked,0,994,0.0003,28.95,35.84,36.2,2820.77,28.7,9.41,46.64,47.05
2024,"Unidentified Counties, SD",46999,None checked,1,None checked,1,6144,0.0017,28.82,38.58,38.78,3367.68,27.63,10.36,42.22,44.71
2024,"Blount County, TN",47009,At least one checked,0,None checked,1,15,0,28.6,39.2,38.73,3558.2,25.51,13.53,41,92.00
2024,"Blount County, TN",47009,None checked,1,At least one checked,0,133,0,28.34,36.06,36.34,2770.95,28.73,10.82,46.55,30.04
2024,"Blount County, TN",47009,None checked,1,None checked,1,1221,0.0003,28.63,38.57,38.75,3381.43,27.8,12.59,47.85,50.13
2024,"Davidson County, TN",47037,At least one checked,0,At least one checked,0,27,0,29.89,35.56,35.59,2868,26.38,7.59,40.06,57.15
2024,"Davidson County, TN",47037,At least one checked,0,None checked,1,112,0,29.05,38.92,38.98,3524.91,26.07,9.95,52.62,43.00
2024,"Davidson County, TN",47037,None checked,1,At least one checked,0,1001,0.0003,30.04,35.3,35.78,2588.44,27.7,8.09,56.37,47.94
2024,"Davidson County, TN",47037,None checked,1,None checked,1,9505,0.0026,29.79,38.66,38.71,3301.05,26.37,9.69,51.99,50.92
2024,"Hamilton County, TN",47065,At least one checked,0,None checked,1,30,0,30.83,39.17,39.24,3597.03,25.55,11.6,37.75,14.00
2024,"Hamilton County, TN",47065,None checked,1,At least one checked,0,571,0.0002,29.45,35.79,35.96,2740.5,28.81,10.06,50.11,34.39
2024,"Hamilton County, TN",47065,None checked,1,None checked,1,3990,0.0011,29.09,38.64,38.68,3322.99,27.22,11.3,45.8,33.69
2024,"Knox County, TN",47093,At least one checked,0,At least one checked,0,14,0,30.14,36.5,36.43,3127.29,27.42,10.36,46,34.50
2024,"Knox County, TN",47093,At least one checked,0,None checked,1,57,0,29.32,38.98,39.26,3596.84,27.17,12.19,46.11,28.42
2024,"Knox County, TN",47093,None checked,1,At least one checked,0,495,0.0001,29.37,35.66,35.84,2718.12,28.45,10.75,56.04,46.39
2024,"Knox County, TN",47093,None checked,1,None checked,1,4844,0.0013,29.25,38.55,38.73,3325.91,27.29,12.36,46.89,47.33
2024,"Montgomery County, TN",47125,At least one checked,0,At least one checked,0,14,0,31.86,34.14,34.21,2727.57,27.8,6.31,52,62.33
2024,"Montgomery County, TN",47125,At least one checked,0,None checked,1,29,0,28.24,38.48,38.97,3356.69,28.24,9.64,50.5,26.20
2024,"Montgomery County, TN",47125,None checked,1,At least one checked,0,379,0.0001,28.93,35.32,35.68,2577.27,28.6,7.28,51.52,39.72
2024,"Montgomery County, TN",47125,None checked,1,None checked,1,3241,0.0009,27.86,38.62,38.83,3310.69,27.9,9.42,47.34,45.43
2024,"Rutherford County, TN",47149,At least one checked,0,None checked,1,55,0,31.29,38.53,38.98,3438.38,28.26,11.04,48.16,38.22
2024,"Rutherford County, TN",47149,None checked,1,At least one checked,0,304,0.0001,30.04,34.93,35.37,2518.28,29.03,8.82,57.35,60.45
2024,"Rutherford County, TN",47149,None checked,1,None checked,1,4307,0.0012,29.05,38.38,38.52,3294.89,27.85,10.95,52.87,54.68
2024,"Shelby County, TN",47157,At least one checked,0,At least one checked,0,42,0,28.95,35.36,35.81,2551.5,30.3,7.26,52.22,30.83
2024,"Shelby County, TN",47157,At least one checked,0,None checked,1,118,0,28.95,38.43,38.54,3406.01,26.73,10.36,53.6,44.00
2024,"Shelby County, TN",47157,None checked,1,At least one checked,0,1353,0.0004,28.59,34.93,35.12,2458.51,29.41,9.75,59.47,55.89
2024,"Shelby County, TN",47157,None checked,1,None checked,1,10051,0.0028,28.29,38.5,38.54,3204.08,28.03,9.81,53.92,50.73
2024,"Sullivan County, TN",47163,At least one checked,0,None checked,1,17,0,28.06,38.94,38.53,3302.94,26.33,10.06,70.86,47.67
2024,"Sullivan County, TN",47163,None checked,1,At least one checked,0,303,0.0001,27.7,37.01,37.24,3038.82,29.12,11.62,50.9,42.32
2024,"Sullivan County, TN",47163,None checked,1,None checked,1,1254,0.0003,27.85,38.59,38.85,3362.05,28.51,12.39,48.36,45.90
2024,"Sumner County, TN",47165,At least one checked,0,None checked,1,13,0,29.15,39.54,39.23,3544.92,23.71,10.31,32.25,13.50
2024,"Sumner County, TN",47165,None checked,1,At least one checked,0,205,0.0001,30.37,35.75,36.14,2771.86,30.55,8.17,51.92,58.24
2024,"Sumner County, TN",47165,None checked,1,None checked,1,2174,0.0006,29.05,38.73,38.91,3379.88,27.49,10.21,47.8,43.48
2024,"Washington County, TN",47179,At least one checked,0,None checked,1,28,0,29,39,39.54,3585.79,31.12,11.89,51.87,37.00
2024,"Washington County, TN",47179,None checked,1,At least one checked,0,250,0.0001,29.35,36.82,37.06,3034.33,29.22,13.11,51.44,45.79
2024,"Washington County, TN",47179,None checked,1,None checked,1,989,0.0003,28.48,38.61,38.81,3342.26,27.4,13.3,44.24,43.47
2024,"Williamson County, TN",47187,At least one checked,0,None checked,1,107,0,31.45,38.75,39.15,3507.88,26.1,10.79,43.72,41.07
2024,"Williamson County, TN",47187,None checked,1,At least one checked,0,178,0,32.13,35.87,36.49,2747.03,26.25,9.15,42.07,52.09
2024,"Williamson County, TN",47187,None checked,1,None checked,1,1975,0.0005,32.25,38.74,38.86,3425.54,25.02,10.41,44.18,46.51
2024,"Wilson County, TN",47189,At least one checked,0,None checked,1,17,0,31.47,38.41,38.71,3244.82,23.48,10.76,35,24.00
2024,"Wilson County, TN",47189,None checked,1,At least one checked,0,193,0.0001,30.17,34.93,35.73,2565.95,28.39,8.51,49.02,53.54
2024,"Wilson County, TN",47189,None checked,1,None checked,1,1819,0.0005,29.59,38.63,38.67,3364.16,27.14,10.88,50.64,48.96
2024,"Unidentified Counties, TN",47999,At least one checked,0,At least one checked,0,68,0,29.03,35.57,35.96,2774.35,27.51,8.46,56.76,54.62
2024,"Unidentified Counties, TN",47999,At least one checked,0,None checked,1,319,0.0001,27.03,38.52,38.8,3425.61,27.48,10.88,48.71,37.76
2024,"Unidentified Counties, TN",47999,None checked,1,At least one checked,0,3543,0.001,27.92,35.72,36.12,2754.99,29.72,10.01,51.56,48.66
2024,"Unidentified Counties, TN",47999,None checked,1,None checked,1,28426,0.0078,27.55,38.53,38.75,3331.54,28.33,11.44,48.15,47.69
2024,"Bell County, TX",48027,At least one checked,0,None checked,1,15,0,26.27,39.13,38.8,3408.2,27.15,10.47,52,58.50
2024,"Bell County, TX",48027,None checked,1,At least one checked,0,536,0.0001,28.58,34.88,35.67,2543.76,29.39,7.6,54.64,49.85
2024,"Bell County, TX",48027,None checked,1,None checked,1,5380,0.0015,27.87,38.43,39.06,3292.59,27.29,9.05,51.27,47.84
2024,"Bexar County, TX",48029,At least one checked,0,At least one checked,0,48,0,30.48,35.5,35.35,2735.38,27.45,9.28,39.79,73.00
2024,"Bexar County, TX",48029,At least one checked,0,None checked,1,128,0,28.73,38.61,39.19,3407.32,25.68,10.48,57.82,41.45
2024,"Bexar County, TX",48029,None checked,1,At least one checked,0,3281,0.0009,29.57,35.58,36.5,2682.02,29.41,9.98,60.04,53.78
2024,"Bexar County, TX",48029,None checked,1,None checked,1,23332,0.0064,28.69,38.46,39.36,3276.75,28.01,11.24,51.92,50.41
2024,"Brazoria County, TX",48039,At least one checked,0,None checked,1,20,0,27.9,38.8,38.5,3478.3,28.17,10.8,39,51.25
2024,"Brazoria County, TX",48039,None checked,1,At least one checked,0,668,0.0002,30.09,35.73,36.26,2794.7,30.07,9.2,55.32,52.74
2024,"Brazoria County, TX",48039,None checked,1,None checked,1,4063,0.0011,29.5,38.37,38.66,3284.29,28.43,10.1,51.86,50.51
2024,"Brazos County, TX",48041,None checked,1,At least one checked,0,347,0.0001,28.95,36.07,36.71,2819.06,28.93,8.61,51.84,31.87
2024,"Brazos County, TX",48041,None checked,1,None checked,1,2295,0.0006,28.45,38.45,38.8,3297.59,27.58,9.67,50.28,45.29
2024,"Cameron County, TX",48061,At least one checked,0,At least one checked,0,15,0,31.73,34.4,36.27,2436.67,28.02,12.67,75.73,78.00
2024,"Cameron County, TX",48061,At least one checked,0,None checked,1,38,0,28.42,38.16,39.08,3369.16,27.63,11,44.19,52.00
2024,"Cameron County, TX",48061,None checked,1,At least one checked,0,694,0.0002,28.62,35.46,36.03,2671.99,29.58,12.02,61.96,49.75
2024,"Cameron County, TX",48061,None checked,1,None checked,1,5091,0.0014,27.43,38.37,38.72,3263.19,28.98,12.72,52,50.27
2024,"Collin County, TX",48085,At least one checked,0,None checked,1,92,0,31.05,38.13,38.3,3304.97,26.58,11.03,49.78,42.60
2024,"Collin County, TX",48085,None checked,1,At least one checked,0,1240,0.0003,31.41,35.69,36.29,2692.13,27.95,10.68,53.03,49.00
2024,"Collin County, TX",48085,None checked,1,None checked,1,12310,0.0034,30.94,38.59,38.81,3298.28,26.57,11.37,49.58,44.03
2024,"Comal County, TX",48091,At least one checked,0,None checked,1,11,0,29.09,39.18,39.64,3390.36,25.56,12.73,36,13.00
2024,"Comal County, TX",48091,None checked,1,At least one checked,0,331,0.0001,30.44,36.53,37.09,2956.71,28.42,10.79,57.28,45.34
2024,"Comal County, TX",48091,None checked,1,None checked,1,1853,0.0005,30.07,38.55,39.01,3338.27,27.03,11.07,47.89,48.53
2024,"Dallas County, TX",48113,At least one checked,0,At least one checked,0,31,0,30.16,35.23,36.32,2511.77,28.52,10.48,51.69,52.67
2024,"Dallas County, TX",48113,At least one checked,0,None checked,1,141,0,29.25,38.98,39.15,3389.44,25.93,10.58,53.65,36.92
2024,"Dallas County, TX",48113,None checked,1,At least one checked,0,3338,0.0009,29.5,35.37,36,2574.44,28.42,9.95,59.47,50.75
2024,"Dallas County, TX",48113,None checked,1,None checked,1,33025,0.0091,28.84,38.68,38.84,3298.16,27.54,10,53.8,49.37
2024,"Denton County, TX",48121,At least one checked,0,At least one checked,0,16,0,31.31,35.62,35.12,2789.81,28.21,7.5,52.5,100.00
2024,"Denton County, TX",48121,At least one checked,0,None checked,1,75,0,29.45,38.65,38.71,3362.27,26.39,10.11,36.22,21.50
2024,"Denton County, TX",48121,None checked,1,At least one checked,0,1368,0.0004,30.88,35.86,36.35,2720.41,28.38,9.43,54.17,45.41
2024,"Denton County, TX",48121,None checked,1,None checked,1,10631,0.0029,30.53,38.6,38.8,3322.39,27.08,10.28,47.37,45.42
2024,"Ector County, TX",48135,At least one checked,0,None checked,1,18,0,30.17,38,38.17,3247.72,27.73,8.94,74.1,70.67
2024,"Ector County, TX",48135,None checked,1,At least one checked,0,412,0.0001,28.55,35.98,36.22,2740.72,28.52,8.49,65.5,60.05
2024,"Ector County, TX",48135,None checked,1,None checked,1,2678,0.0007,27.07,38.31,38.61,3240.71,28.03,9.09,53.02,55.25
2024,"Ellis County, TX",48139,At least one checked,0,None checked,1,10,0,27.2,38.9,39.4,3446.6,27.88,11.4,47.33,10.00
2024,"Ellis County, TX",48139,None checked,1,At least one checked,0,254,0.0001,29.5,35.22,35.61,2643.44,29.69,8.82,52.7,43.10
2024,"Ellis County, TX",48139,None checked,1,None checked,1,2647,0.0007,29.15,38.58,38.77,3340.79,28.46,9.99,49.57,49.80
2024,"El Paso County, TX",48141,At least one checked,0,At least one checked,0,22,0,29.95,31.95,34.05,1987.5,26.6,9.05,46.79,36.30
2024,"El Paso County, TX",48141,At least one checked,0,None checked,1,54,0,26.98,38.87,38.85,3282.54,27.39,9.74,52.2,47.42
2024,"El Paso County, TX",48141,None checked,1,At least one checked,0,1068,0.0003,28.84,34.88,35.45,2498.93,28.6,8.77,60.05,47.49
2024,"El Paso County, TX",48141,None checked,1,None checked,1,9659,0.0027,27.81,38.26,38.61,3196.58,27.47,9.87,54.95,48.16
2024,"Fort Bend County, TX",48157,At least one checked,0,At least one checked,0,21,0,36.05,34.67,34.05,2665.38,26.31,8.29,94.67,47.33
2024,"Fort Bend County, TX",48157,At least one checked,0,None checked,1,57,0,31.56,37.88,38.19,3259.59,26.52,10.19,53.3,53.18
2024,"Fort Bend County, TX",48157,None checked,1,At least one checked,0,1197,0.0003,32.09,35.72,36.06,2727.93,28.85,9.19,56.01,44.99
2024,"Fort Bend County, TX",48157,None checked,1,None checked,1,8125,0.0022,31.21,38.36,38.56,3244.84,27.13,9.42,51.83,52.27
2024,"Galveston County, TX",48167,At least one checked,0,None checked,1,16,0,29.56,38.12,38.5,3391.88,27.33,12.31,63,113.83
2024,"Galveston County, TX",48167,None checked,1,At least one checked,0,594,0.0002,28.69,35.97,36.71,2757.69,29.64,10.1,54.29,48.54
2024,"Galveston County, TX",48167,None checked,1,None checked,1,3324,0.0009,29.05,38.29,38.64,3260.17,28.53,10.32,48.86,53.50
2024,"Grayson County, TX",48181,None checked,1,At least one checked,0,162,0,28.51,35.48,36.01,2702.41,29.76,10.55,53.08,56.85
2024,"Grayson County, TX",48181,None checked,1,None checked,1,1621,0.0004,27.93,38.56,38.88,3311.39,28.41,10.81,48.27,52.39
2024,"Gregg County, TX",48183,At least one checked,0,None checked,1,13,0,28.69,37.92,38.15,3220.92,28.92,12.77,46.43,38.00
2024,"Gregg County, TX",48183,None checked,1,At least one checked,0,192,0.0001,27.97,34.95,35.27,2602.81,31.49,9.95,58.67,48.56
2024,"Gregg County, TX",48183,None checked,1,None checked,1,1444,0.0004,27.48,38.4,38.74,3301.19,29.55,11.82,51.75,56.05
2024,"Guadalupe County, TX",48187,At least one checked,0,None checked,1,11,0,30.55,38.36,39.73,3507,26.38,9.09,96.67,50.00
2024,"Guadalupe County, TX",48187,None checked,1,At least one checked,0,302,0.0001,29.34,36.24,36.87,2874.12,29.56,9.69,54.84,45.29
2024,"Guadalupe County, TX",48187,None checked,1,None checked,1,1962,0.0005,29.28,38.48,38.87,3296.51,27.95,10.61,48.41,52.78
2024,"Harris County, TX",48201,At least one checked,0,At least one checked,0,118,0,30.59,34.71,35.35,2571.13,30.18,8.14,75.36,59.06
2024,"Harris County, TX",48201,At least one checked,0,None checked,1,264,0.0001,28.13,38.67,38.87,3329.47,26.41,9.64,54.5,42.21
2024,"Harris County, TX",48201,None checked,1,At least one checked,0,7406,0.002,29.98,35.52,35.96,2665.84,29.14,8.44,59.16,51.84
2024,"Harris County, TX",48201,None checked,1,None checked,1,56040,0.0154,29.26,38.44,38.62,3253.39,27.87,8.93,54.67,51.11
2024,"Hays County, TX",48209,At least one checked,0,None checked,1,39,0,31.51,38.69,39.18,3427.15,26.21,12.39,43.75,34.18
2024,"Hays County, TX",48209,None checked,1,At least one checked,0,341,0.0001,30.29,35.23,35.94,2629.7,28.53,10.82,51.93,59.46
2024,"Hays County, TX",48209,None checked,1,None checked,1,3284,0.0009,30,38.59,39,3329.53,27.52,11.94,49.08,53.47
2024,"Hidalgo County, TX",48215,At least one checked,0,At least one checked,0,46,0,29.87,33.65,34.63,2387.5,29.77,8.35,50.55,50.67
2024,"Hidalgo County, TX",48215,At least one checked,0,None checked,1,133,0,26.17,38.14,38.17,3239.62,28.25,10.66,48.19,42.68
